"pop","pedigree","parent","name","size"
1,"(B73×B97)S5","B97","B73_B97",194
2,"(B73×CML103)S5","CML103","B73_CML103",196
3,"(B73×CML228)S5","CML228","B73_CML228",191
4,"(B73×CML247)S5","CML247","B73_CML247",196
5,"(B73×CML277)S5","CML277","B73_CML277",187
6,"(B73×CML322)S5","CML322","B73_CML322",185
7,"(B73×CML333)S5","CML333","B73_CML333",193
8,"(B73×CML52)S5","CML52","B73_CML52",196
9,"(B73×CML69)S5","CML69","B73_CML69",189
10,"(B73×Hp301)S5","Hp301","B73_Hp301",192
11,"(B73×Il14H)S5","IL14H","B73_IL14H",194
12,"(B73×Ki11)S5","Ki11","B73_Ki11",193
13,"(B73×Ki3)S5","Ki3","B73_Ki3",126
14,"(B73×Ky21)S5","Ky21","B73_Ky21",196
15,"(B73×M162W)S5","M162W","B73_M162W",185
16,"(B73×M37W)S5","M37W","B73_M37W",194
18,"(B73×Mo18W)S5","Mo18W","B73_Mo18W",192
19,"(B73×MS71)S5","MS71","B73_MS71",196
20,"(B73×NC350)S5","NC350","B73_NC350",188
21,"(B73×NC358)S5","NC358","B73_NC358",184
22,"(B73×Oh43)S5","Oh43","B73_Oh43",193
23,"(B73×Oh7B)S5","Oh7B","B73_Oh7B",181
24,"(B73×P39)S5","P39","B73_P39",183
25,"(B73×Tx303)S5","Tx303","B73_Tx303",188
26,"(B73×Tzi8)S5","Tzi8","B73_Tzi8",186
