"population","het_p","het_phi","geno_p","geno_cramersV","ks_p","w1d","ld_ks_p","ld_w1d","gc_p","gc_cohens"
1,"0.001","0.02","<0.001","0.12","0.206","18.56","<0.001","0.03","<0.001","1.54"
2,"0.445","0","<0.001","0.11","<0.001","51.74","<0.001","0.03","<0.001","1.1"
3,"0.024","0.01","<0.001","0.12","0.033","27.93","<0.001","0.05","<0.001","1.47"
4,"<0.001","0.02","<0.001","0.13","0.316","23.06","<0.001","0.03","<0.001","1.49"
5,"1","0","<0.001","0.11","0.118","28.79","<0.001","0.03","<0.001","1.05"
6,"0.258","0","<0.001","0.14","0.003","49.01","<0.001","0.03","<0.001","1.3"
7,"0.273","0","<0.001","0.14","0.774","14.79","<0.001","0.04","<0.001","1.35"
8,"<0.001","0.02","<0.001","0.13","0.037","40.41","<0.001","0.03","<0.001","1.41"
9,"0.069","0.01","<0.001","0.13","0.194","24.84","<0.001","0.02","<0.001","1.3"
10,"0.422","0","<0.001","0.12","0.018","49.41","<0.001","0.03","<0.001","1.04"
11,"0.474","0","<0.001","0.14","0.608","18.13","<0.001","0.03","<0.001","1.6"
12,"0.064","0.01","<0.001","0.12","0.371","23.1","<0.001","0.03","<0.001","1.56"
13,"<0.001","0.02","<0.001","0.12","0.153","38.77","<0.001","0.03","<0.001","1.26"
14,"<0.001","0.02","<0.001","0.12","0.38","20.89","<0.001","0.03","<0.001","1.76"
15,"0.116","0.01","<0.001","0.15","0.089","22.83","<0.001","0.03","<0.001","1.15"
16,"0.002","0.02","<0.001","0.13","0.206","26.26","<0.001","0.03","<0.001","1.45"
18,"<0.001","0.02","<0.001","0.12","0.018","34.52","<0.001","0.03","<0.001","1.43"
19,"0.913","0","<0.001","0.12","0.452","15.5","<0.001","0.04","<0.001","1.07"
20,"<0.001","0.02","<0.001","0.11","0.355","30.23","<0.001","0.03","<0.001","1.32"
21,"<0.001","0.02","<0.001","0.13","0.113","28.97","<0.001","0.03","<0.001","1.25"
22,"0.531","0","<0.001","0.13","0.129","22.79","<0.001","0.03","<0.001","1.07"
23,"0.158","0.01","<0.001","0.13","0.332","22.78","<0.001","0.03","<0.001","1.45"
24,"<0.001","0.02","<0.001","0.12","0.98","8.08","<0.001","0.03","<0.001","1.43"
25,"<0.001","0.03","<0.001","0.13","0.76","13.53","<0.001","0.03","<0.001","1.24"
26,"<0.001","0.02","<0.001","0.11","0.497","17.92","<0.001","0.04","<0.001","1.05"
