"population","het_p","het_phi","geno_p","geno_cramersV","ks_p","w1d","ld_ks_p","ld_w1d","gc_p","gc_cohens"
1,"0.114","0.01","<0.001","0.12","0.103","24.94","<0.001","0.04","<0.001","1.41"
2,"0.084","0.01","<0.001","0.13","0.02","48.18","<0.001","0.02","<0.001","1.12"
3,"<0.001","0.02","<0.001","0.1","0.436","26.92","<0.001","0.04","<0.001","1.43"
4,"0.889","0","<0.001","0.13","0.001","47.97","<0.001","0.03","<0.001","1.37"
5,"0.09","0.01","<0.001","0.1","0.15","19.18","<0.001","0.03","<0.001","0.89"
6,"0.922","0","<0.001","0.11","<0.001","62.71","<0.001","0.03","<0.001","1.28"
7,"0.005","0.01","<0.001","0.11","0.026","23.34","<0.001","0.04","<0.001","1.24"
8,"0.056","0.01","<0.001","0.14","0.015","45.49","<0.001","0.03","<0.001","1.51"
9,"<0.001","0.05","<0.001","0.13","<0.001","63.87","<0.001","0.02","<0.001","1.07"
10,"0.087","0.01","<0.001","0.11","0.002","71.67","<0.001","0.02","<0.001","1.02"
11,"0.289","0","<0.001","0.14","0.374","21.29","<0.001","0.04","<0.001","1.56"
12,"1","0","<0.001","0.12","0.251","30.78","<0.001","0.03","<0.001","1.46"
13,"0.005","0.01","<0.001","0.12","0.114","42.44","<0.001","0.03","<0.001","1.11"
14,"<0.001","0.02","<0.001","0.12","0.699","17.44","<0.001","0.03","<0.001","1.77"
15,"0.011","0.01","<0.001","0.14","0.115","34.74","<0.001","0.03","<0.001","1.12"
16,"0.148","0.01","<0.001","0.12","0.254","23.38","<0.001","0.03","<0.001","1.36"
18,"0.219","0","<0.001","0.13","0.002","54.32","<0.001","0.02","<0.001","1.33"
19,"0.008","0.01","<0.001","0.13","0.531","12.17","<0.001","0.03","<0.001","1.12"
20,"0.009","0.01","<0.001","0.14","0.017","33.77","<0.001","0.03","<0.001","1.37"
21,"<0.001","0.03","<0.001","0.14","0.748","13.8","<0.001","0.03","<0.001","1.22"
22,"0.093","0.01","<0.001","0.11","0.442","15.95","<0.001","0.03","<0.001","1.15"
23,"0.017","0.01","<0.001","0.14","0.048","24.21","<0.001","0.03","<0.001","1.37"
24,"<0.001","0.04","<0.001","0.15","0.486","22.79","<0.001","0.03","<0.001","1.37"
25,"0.159","0.01","<0.001","0.12","0.191","30.14","<0.001","0.03","<0.001","1.13"
26,"0.491","0","<0.001","0.1","<0.001","41.15","<0.001","0.05","<0.001","1.2"
