"population","het_p","het_phi","geno_p","geno_cramersV","ks_p","w1d","ld_ks_p","ld_w1d","gc_p","gc_cohens"
1,"<0.001","0.02","<0.001","0.1","0.002","47.16","<0.001","0.03","<0.001","1.28"
2,"0.621","0","<0.001","0.11","0.004","46.59","<0.001","0.03","<0.001","1.08"
3,"<0.001","0.02","<0.001","0.11","0.058","40.43","<0.001","0.04","<0.001","1.49"
4,"0.804","0","<0.001","0.13","0.316","26.18","<0.001","0.02","<0.001","1.44"
5,"0.003","0.01","<0.001","0.11","0.118","26.21","<0.001","0.03","<0.001","1.11"
6,"0.319","0","<0.001","0.13","0.002","50.26","<0.001","0.03","<0.001","1.32"
7,"0.013","0.01","<0.001","0.13","0.307","17.18","<0.001","0.04","<0.001","1.44"
8,"0.013","0.01","<0.001","0.15","0.005","44.82","<0.001","0.02","<0.001","1.4"
9,"<0.001","0.03","<0.001","0.12","<0.001","64.66","<0.001","0.03","<0.001","1.08"
10,"<0.001","0.02","<0.001","0.12","<0.001","63.96","<0.001","0.03","<0.001","1.09"
11,"0.417","0","<0.001","0.12","0.608","22.42","<0.001","0.04","<0.001","1.65"
12,"<0.001","0.02","<0.001","0.1","0.203","28.38","<0.001","0.03","<0.001","1.51"
13,"0.115","0.01","<0.001","0.12","<0.001","62.35","<0.001","0.04","<0.001","1.19"
14,"<0.001","0.02","<0.001","0.14","0.38","20.2","<0.001","0.03","<0.001","1.8"
15,"0.371","0","<0.001","0.12","0.089","31.38","<0.001","0.04","<0.001","1.05"
16,"0.002","0.01","<0.001","0.13","0.131","21.65","<0.001","0.03","<0.001","1.52"
18,"0.003","0.01","<0.001","0.13","0.059","36.11","<0.001","0.03","<0.001","1.4"
19,"<0.001","0.02","<0.001","0.15","0.917","9.34","<0.001","0.03","<0.001","1.23"
20,"0.061","0.01","<0.001","0.12","0.023","29.04","<0.001","0.03","<0.001","1.32"
21,"0.001","0.02","<0.001","0.13","0.038","36.71","<0.001","0.03","<0.001","1.21"
22,"<0.001","0.04","<0.001","0.13","0.913","11.63","<0.001","0.03","<0.001","1.11"
23,"0.007","0.01","<0.001","0.12","0.332","18.64","<0.001","0.03","<0.001","1.33"
24,"0.343","0","<0.001","0.11","0.224","24.8","<0.001","0.04","<0.001","1.37"
25,"<0.001","0.02","<0.001","0.13","0.426","20.16","<0.001","0.03","<0.001","1.12"
26,"0.829","0","<0.001","0.09","0.419","27.7","<0.001","0.03","<0.001","1.19"
