"pop","individual","value","env","trait"
1,"1",81,"06IL","silk"
1,"1",92,"06A","silk"
1,"1",82,"07A","silk"
1,"1",73,"07CL","silk"
1,"1",73,"07IL","silk"
1,"1",67,"06MO","silk"
1,"1",69,"07MO","silk"
1,"2",76,"06IL","silk"
1,"2",92,"06A","silk"
1,"2",84,"07A","silk"
1,"2",72,"07CL","silk"
1,"2",78,"07IL","silk"
1,"2",70,"06MO","silk"
1,"3",77,"06IL","silk"
1,"3",88,"06A","silk"
1,"3",82,"07A","silk"
1,"3",73,"07CL","silk"
1,"3",69,"07IL","silk"
1,"3",67,"06MO","silk"
1,"4",78,"06IL","silk"
1,"4",87,"06A","silk"
1,"4",81,"07A","silk"
1,"4",68,"07CL","silk"
1,"4",70,"07IL","silk"
1,"4",70,"06MO","silk"
1,"4",70,"07MO","silk"
1,"5",86,"06IL","silk"
1,"5",100,"06A","silk"
1,"5",92,"07A","silk"
1,"5",82,"07CL","silk"
1,"5",74,"07IL","silk"
1,"5",81,"06MO","silk"
1,"5",75,"07MO","silk"
1,"6",75,"06IL","silk"
1,"6",89,"06A","silk"
1,"6",76,"07A","silk"
1,"6",69,"07CL","silk"
1,"6",73,"07IL","silk"
1,"6",66,"06MO","silk"
1,"7",77,"06IL","silk"
1,"7",90,"06A","silk"
1,"7",80,"07A","silk"
1,"7",69,"07CL","silk"
1,"7",70,"07IL","silk"
1,"7",66,"06MO","silk"
1,"8",77,"06IL","silk"
1,"8",80,"07A","silk"
1,"8",72,"07CL","silk"
1,"8",68,"07IL","silk"
1,"8",73,"06MO","silk"
1,"9",81,"06IL","silk"
1,"9",94,"06A","silk"
1,"9",83,"07A","silk"
1,"9",72,"07CL","silk"
1,"9",71,"07IL","silk"
1,"9",79,"06MO","silk"
1,"10",75,"06IL","silk"
1,"10",91,"06A","silk"
1,"10",78,"07A","silk"
1,"10",69,"07CL","silk"
1,"10",69,"07IL","silk"
1,"10",63,"06MO","silk"
1,"11",84,"06IL","silk"
1,"11",94,"06A","silk"
1,"11",84,"07A","silk"
1,"11",71,"07CL","silk"
1,"11",70,"07IL","silk"
1,"11",71,"06MO","silk"
1,"11",72,"07MO","silk"
1,"12",81,"06IL","silk"
1,"12",93,"06A","silk"
1,"12",87,"07A","silk"
1,"12",68,"07CL","silk"
1,"12",69,"07IL","silk"
1,"12",69,"06MO","silk"
1,"13",75,"06IL","silk"
1,"13",95,"06A","silk"
1,"13",86,"07A","silk"
1,"13",72,"07CL","silk"
1,"13",70,"07IL","silk"
1,"13",74,"06MO","silk"
1,"14",78,"06IL","silk"
1,"14",101,"06A","silk"
1,"14",85,"07A","silk"
1,"14",72,"07CL","silk"
1,"14",71,"07IL","silk"
1,"14",69,"06MO","silk"
1,"15",75,"06IL","silk"
1,"15",98,"06A","silk"
1,"15",81,"07A","silk"
1,"15",71,"07CL","silk"
1,"15",73,"07IL","silk"
1,"15",72,"06MO","silk"
1,"16",84,"06IL","silk"
1,"16",95,"06A","silk"
1,"16",91,"07A","silk"
1,"16",71,"07CL","silk"
1,"16",73,"07IL","silk"
1,"16",74,"06MO","silk"
1,"17",79,"06IL","silk"
1,"17",93,"06A","silk"
1,"17",86,"07A","silk"
1,"17",71,"07CL","silk"
1,"17",73,"07IL","silk"
1,"17",67,"06MO","silk"
1,"18",80,"06IL","silk"
1,"18",88,"06A","silk"
1,"18",82,"07A","silk"
1,"18",72,"07CL","silk"
1,"18",70,"07IL","silk"
1,"18",68,"06MO","silk"
1,"19",79,"06IL","silk"
1,"19",107,"06A","silk"
1,"19",83,"07A","silk"
1,"19",71,"07CL","silk"
1,"19",73,"07IL","silk"
1,"19",71,"06MO","silk"
1,"20",98,"06A","silk"
1,"20",78,"07A","silk"
1,"20",70,"07CL","silk"
1,"20",70,"07IL","silk"
1,"20",73,"06MO","silk"
1,"21",75,"06IL","silk"
1,"21",81,"07A","silk"
1,"21",71,"07CL","silk"
1,"21",73,"07IL","silk"
1,"21",69,"06MO","silk"
1,"22",78,"06IL","silk"
1,"22",91,"06A","silk"
1,"22",76,"07A","silk"
1,"22",67,"07CL","silk"
1,"22",69,"07IL","silk"
1,"22",74,"06MO","silk"
1,"23",75,"06IL","silk"
1,"23",89,"06A","silk"
1,"23",80,"07A","silk"
1,"23",71,"07CL","silk"
1,"23",70,"07IL","silk"
1,"23",63,"06MO","silk"
1,"24",77,"06IL","silk"
1,"24",91,"06A","silk"
1,"24",81,"07A","silk"
1,"24",72,"07CL","silk"
1,"24",62,"06MO","silk"
1,"25",76,"06IL","silk"
1,"25",102,"06A","silk"
1,"25",82,"07A","silk"
1,"25",71,"07CL","silk"
1,"25",75,"07IL","silk"
1,"26",75,"06IL","silk"
1,"26",91,"06A","silk"
1,"26",75,"07A","silk"
1,"26",66,"07CL","silk"
1,"26",67,"07IL","silk"
1,"26",63,"06MO","silk"
1,"26",63,"07MO","silk"
1,"27",78,"06IL","silk"
1,"27",100,"06A","silk"
1,"27",83,"07A","silk"
1,"27",74,"07CL","silk"
1,"27",73,"07IL","silk"
1,"28",82,"06IL","silk"
1,"28",92,"07A","silk"
1,"28",73,"07CL","silk"
1,"28",70,"07IL","silk"
1,"28",71,"06MO","silk"
1,"29",74,"06IL","silk"
1,"29",89,"06A","silk"
1,"29",81,"07A","silk"
1,"29",71,"07CL","silk"
1,"29",70,"07IL","silk"
1,"29",72,"07MO","silk"
1,"30",78,"06IL","silk"
1,"30",93,"06A","silk"
1,"30",82,"07A","silk"
1,"30",71,"07CL","silk"
1,"30",67,"07IL","silk"
1,"30",67,"06MO","silk"
1,"31",79,"06IL","silk"
1,"31",84,"07A","silk"
1,"31",73,"07CL","silk"
1,"31",73,"07IL","silk"
1,"31",71,"06MO","silk"
1,"31",69,"07MO","silk"
1,"32",75,"06IL","silk"
1,"32",91,"06A","silk"
1,"32",79,"07A","silk"
1,"32",70,"07CL","silk"
1,"32",68,"07IL","silk"
1,"32",71,"06MO","silk"
1,"32",69,"07MO","silk"
1,"33",75,"06IL","silk"
1,"33",104,"06A","silk"
1,"33",80,"07A","silk"
1,"33",75,"07CL","silk"
1,"33",68,"07IL","silk"
1,"33",63,"06MO","silk"
1,"34",75,"06IL","silk"
1,"34",107,"06A","silk"
1,"34",88,"07A","silk"
1,"34",74,"07CL","silk"
1,"34",72,"07IL","silk"
1,"34",66,"06MO","silk"
1,"35",75,"06IL","silk"
1,"35",104,"06A","silk"
1,"35",88,"07A","silk"
1,"35",70,"07CL","silk"
1,"35",70,"07IL","silk"
1,"35",65,"06MO","silk"
1,"35",69,"07MO","silk"
1,"36",79,"06IL","silk"
1,"36",98,"06A","silk"
1,"36",87,"07A","silk"
1,"36",73,"07CL","silk"
1,"36",69,"07IL","silk"
1,"36",77,"06MO","silk"
1,"36",71,"07MO","silk"
1,"37",82,"06IL","silk"
1,"37",92,"06A","silk"
1,"37",81,"07A","silk"
1,"37",73,"07CL","silk"
1,"37",71,"07IL","silk"
1,"37",78,"06MO","silk"
1,"38",77,"06IL","silk"
1,"38",98,"06A","silk"
1,"38",78,"07A","silk"
1,"38",73,"07CL","silk"
1,"38",68,"07IL","silk"
1,"38",72,"06MO","silk"
1,"39",74,"06IL","silk"
1,"39",108,"06A","silk"
1,"39",86,"07A","silk"
1,"39",67,"07CL","silk"
1,"39",70,"07IL","silk"
1,"39",65,"06MO","silk"
1,"40",77,"06IL","silk"
1,"40",90,"06A","silk"
1,"40",82,"07A","silk"
1,"40",66,"07CL","silk"
1,"40",67,"07IL","silk"
1,"41",80,"06IL","silk"
1,"41",91,"06A","silk"
1,"41",80,"07A","silk"
1,"41",70,"07CL","silk"
1,"41",70,"07IL","silk"
1,"41",68,"06MO","silk"
1,"41",68,"07MO","silk"
1,"42",84,"06IL","silk"
1,"42",83,"07A","silk"
1,"42",70,"07CL","silk"
1,"42",70,"07IL","silk"
1,"42",71,"06MO","silk"
1,"43",75,"06IL","silk"
1,"43",96,"06A","silk"
1,"43",84,"07A","silk"
1,"43",70,"07CL","silk"
1,"43",70,"07IL","silk"
1,"43",72,"06MO","silk"
1,"43",66,"07MO","silk"
1,"44",75,"06IL","silk"
1,"44",91,"06A","silk"
1,"44",79,"07A","silk"
1,"44",71,"07CL","silk"
1,"44",70,"07IL","silk"
1,"44",76,"06MO","silk"
1,"45",76,"06IL","silk"
1,"45",85,"06A","silk"
1,"45",79,"07A","silk"
1,"45",71,"07CL","silk"
1,"45",70,"07IL","silk"
1,"45",70,"06MO","silk"
1,"46",81,"06IL","silk"
1,"46",95,"06A","silk"
1,"46",80,"07A","silk"
1,"46",78,"07CL","silk"
1,"46",69,"07IL","silk"
1,"46",78,"06MO","silk"
1,"47",74,"06IL","silk"
1,"47",87,"06A","silk"
1,"47",79,"07A","silk"
1,"47",70,"07CL","silk"
1,"47",67,"07IL","silk"
1,"47",69,"06MO","silk"
1,"48",78,"06IL","silk"
1,"48",99,"06A","silk"
1,"48",84,"07A","silk"
1,"48",73,"07CL","silk"
1,"48",70,"07IL","silk"
1,"48",73,"06MO","silk"
1,"49",78,"06IL","silk"
1,"49",107,"06A","silk"
1,"49",83,"07A","silk"
1,"49",73,"07CL","silk"
1,"49",72,"07IL","silk"
1,"49",70,"06MO","silk"
1,"50",75,"06IL","silk"
1,"50",83,"07A","silk"
1,"50",69,"07CL","silk"
1,"50",68,"07IL","silk"
1,"50",62,"06MO","silk"
1,"51",78,"06IL","silk"
1,"51",104,"06A","silk"
1,"51",83,"07A","silk"
1,"51",72,"07CL","silk"
1,"51",69,"07IL","silk"
1,"51",66,"06MO","silk"
1,"51",71,"07MO","silk"
1,"52",78,"06IL","silk"
1,"52",90,"06A","silk"
1,"52",85,"07A","silk"
1,"52",70,"07CL","silk"
1,"52",73,"07IL","silk"
1,"52",73,"06MO","silk"
1,"53",75,"06IL","silk"
1,"53",106,"06A","silk"
1,"53",83,"07A","silk"
1,"53",69,"07CL","silk"
1,"53",68,"07IL","silk"
1,"53",70,"06MO","silk"
1,"54",80,"06IL","silk"
1,"54",104,"06A","silk"
1,"54",85,"07A","silk"
1,"54",70,"07CL","silk"
1,"54",70,"07IL","silk"
1,"54",67,"06MO","silk"
1,"54",71,"07MO","silk"
1,"55",77,"06IL","silk"
1,"55",101,"06A","silk"
1,"55",76,"07A","silk"
1,"55",68,"07CL","silk"
1,"55",73,"07IL","silk"
1,"55",70,"06MO","silk"
1,"55",66,"07MO","silk"
1,"56",75,"06IL","silk"
1,"56",86,"06A","silk"
1,"56",76,"07A","silk"
1,"56",67,"07CL","silk"
1,"56",68,"07IL","silk"
1,"56",70,"06MO","silk"
1,"57",78,"06IL","silk"
1,"57",90,"06A","silk"
1,"57",79,"07A","silk"
1,"57",69,"07CL","silk"
1,"57",70,"07IL","silk"
1,"57",66,"06MO","silk"
1,"57",69,"07MO","silk"
1,"58",75,"06IL","silk"
1,"58",99,"06A","silk"
