pop,name
1,Hp301_CML228
2,Tx303_CML103
3,CML277_MS71
4,Oh43_Mo18W
5,Ky21_Hp301
6,Ki3_CML322
7,Hp301_M162W
8,NC350_CML277
9,CML52_Ky21
10,Ky21_CML228
11,NC350_CML247
12,CML247_CML277
13,Oh7B_MS71
14,CML333_NC350
15,B97_Oh7B
16,Ki11_CML69
17,Ki11_NC358
18,Ky21_NC350
19,MS71_IL14H
20,NC350_Mo18W
21,Ky21_Ki11
22,Tzi8_Ky21
23,B97_Mo18W
24,MS71_NC358
25,CML322_CML228
26,M37W_Mo18W
27,Tx303_Ki11
28,M162W_CML52
29,IL14H_Ki3
30,MS71_M37W
31,CML247_IL14H
32,IL14H_Ky21
33,B97_NC358
34,Tzi8_CML333
35,Hp301_NC358
36,MS71_CML69
37,CML52_Mo18W
38,CML103_MS71
39,B97_Ki11
40,Ki11_NC350
41,M37W_M162W
42,Mo18W_Oh7B
43,Ki3_IL14H
44,Mo18W_CML69
45,P39_Ki11
46,CML103_M37W
47,CML52_Ki3
48,M162W_MS71
49,Hp301_CML69
50,Oh43_CML322
51,IL14H_CML103
52,Ki3_Mo18W
53,Oh7B_CML333
54,Ki11_IL14H
55,CML52_Oh7B
56,IL14H_NC350
57,Tx303_Hp301
58,IL14H_B97
59,M162W_Mo18W
60,CML277_Hp301
61,CML277_B97
62,CML52_M37W
63,B97_CML52
64,B97_CML247
65,CML322_NC350
66,NC358_M162W
67,CML228_Tx303
68,MS71_Mo18W
69,NC358_Mo18W
70,MS71_CML333
71,IL14H_NC358
72,MS71_CML247
73,CML69_Ky21
74,CML52_B97
75,Ki11_Oh43
76,MS71_Ky21
77,CML277_NC358
78,M37W_Hp301
79,CML69_Tx303
80,B97_Tzi8
81,CML333_CML247
82,CML52_NC350
83,IL14H_Hp301
84,B97_NC350
85,P39_CML277
86,NC358_Tzi8
87,MS71_NC350
88,P39_NC358
89,CML52_CML333
90,Ky21_Oh43
91,Ki11_CML247
92,NC350_CML333
93,M162W_M37W
94,CML247_Ki11
95,Tzi8_Hp301
96,Ky21_CML322
