"population","het_p","het_phi","geno_p","geno_cramersV","ks_p","w1d","ld_ks_p","ld_w1d","gc_p","gc_cohens","rogers_p","rogers_cohens"
1,"<0.001","0.01","<0.001","0.12","0.206","18.56","<0.001","0.03","<0.001","1.54","<0.001","-0.1"
2,"<0.001","0.01","<0.001","0.11","<0.001","51.74","<0.001","0.02","<0.001","1.1","0.006","0.03"
3,"0.173","0","<0.001","0.12","0.033","27.93","<0.001","0.01","<0.001","1.47","<0.001","0.06"
4,"<0.001","0.01","<0.001","0.13","0.316","23.06","<0.001","0.01","<0.001","1.49","<0.001","-0.08"
5,"0.587","0","<0.001","0.11","0.118","28.79","<0.001","0.06","<0.001","1.05","0.021","0.02"
6,"<0.001","0.01","<0.001","0.13","0.003","49.01","<0.001","0.04","<0.001","1.3","<0.001","-0.04"
7,"<0.001","0.01","<0.001","0.13","0.774","14.79","0.01","0.01","<0.001","1.35","<0.001","0.09"
8,"0.062","0","<0.001","0.13","0.037","40.41","0.006","0.01","<0.001","1.41","<0.001","-0.05"
9,"0.829","0","<0.001","0.13","0.194","24.84","<0.001","0.03","<0.001","1.3","<0.001","0.04"
10,"0.507","0","<0.001","0.12","0.018","49.41","<0.001","0.01","<0.001","1.04","<0.001","0.09"
11,"0.016","0","<0.001","0.14","0.608","18.13","<0.001","0.02","<0.001","1.6","0.368","-0.01"
12,"0.038","0","<0.001","0.12","0.371","23.1","<0.001","0.03","<0.001","1.56","0.215","0.01"
13,"<0.001","0.01","<0.001","0.12","0.153","38.77","<0.001","0.03","<0.001","1.26","<0.001","0.12"
14,"0.592","0","<0.001","0.12","0.38","20.89","<0.001","0.02","<0.001","1.76","<0.001","0.06"
15,"<0.001","0.01","<0.001","0.14","0.089","22.83","<0.001","0.01","<0.001","1.15","<0.001","-0.12"
16,"0.671","0","<0.001","0.13","0.206","26.26","<0.001","0.02","<0.001","1.45","<0.001","0.07"
18,"0.715","0","<0.001","0.13","0.018","34.52","<0.001","0.01","<0.001","1.43","0.932","0"
19,"0.004","0","<0.001","0.12","0.452","15.5","<0.001","0.01","<0.001","1.07","<0.001","-0.08"
20,"0.163","0","<0.001","0.13","0.355","30.23","<0.001","0.03","<0.001","1.32","0.067","0.02"
21,"0.414","0","<0.001","0.13","0.113","28.97","<0.001","0.02","<0.001","1.25","0.674","0"
22,"0.492","0","<0.001","0.13","0.129","22.79","<0.001","0.03","<0.001","1.07","0.01","0.03"
23,"0.002","0","<0.001","0.12","0.332","22.78","<0.001","0.03","<0.001","1.45","0.008","0.03"
24,"<0.001","0.01","<0.001","0.13","0.98","8.08","<0.001","0.01","<0.001","1.43","<0.001","-0.13"
25,"<0.001","0.01","<0.001","0.13","0.76","13.53","<0.001","0.01","<0.001","1.24","<0.001","-0.07"
26,"<0.001","0.01","<0.001","0.11","0.497","17.92","<0.001","0.01","<0.001","1.05","0.965","0"
