"population","het_p","het_phi","geno_p","geno_cramersV","ks_p","w1d","ld_ks_p","ld_w1d","gc_p","gc_cohens","rogers_p","rogers_cohens"
1,"<0.001","0.02","<0.001","0.13","0.002","47.16","<0.001","0.02","<0.001","1.28","<0.001","-0.23"
2,"0.689","0","<0.001","0.12","0.004","46.59","<0.001","0.03","<0.001","1.08","<0.001","-0.06"
3,"0.966","0","<0.001","0.12","0.058","40.43","0.183","0","<0.001","1.49","0.003","0.03"
4,"<0.001","0.01","<0.001","0.13","0.316","26.18","<0.001","0.02","<0.001","1.44","<0.001","-0.09"
5,"<0.001","0.01","<0.001","0.11","0.118","26.21","<0.001","0.04","<0.001","1.11","<0.001","0.09"
6,"0.177","0","<0.001","0.13","0.002","50.26","<0.001","0.03","<0.001","1.32","0.317","0.01"
7,"<0.001","0.01","<0.001","0.13","0.307","17.18","<0.001","0.01","<0.001","1.44","<0.001","0.2"
8,"0.136","0","<0.001","0.13","0.005","44.82","<0.001","0.02","<0.001","1.4","<0.001","-0.06"
9,"<0.001","0.01","<0.001","0.13","<0.001","64.66","<0.001","0.04","<0.001","1.08","<0.001","0.12"
10,"<0.001","0.01","<0.001","0.12","<0.001","63.96","<0.001","0.02","<0.001","1.09","0.378","-0.01"
11,"0.036","0","<0.001","0.14","0.608","22.42","<0.001","0.01","<0.001","1.65","0.763","0"
12,"<0.001","0.01","<0.001","0.12","0.203","28.38","<0.001","0.01","<0.001","1.51","<0.001","0.09"
13,"0.001","0.01","<0.001","0.12","<0.001","62.35","<0.001","0.01","<0.001","1.19","<0.001","0.1"
14,"<0.001","0.01","<0.001","0.12","0.38","20.2","<0.001","0.03","<0.001","1.8","<0.001","-0.06"
15,"0.003","0","<0.001","0.14","0.089","31.38","0.001","0.01","<0.001","1.05","<0.001","-0.05"
16,"0.088","0","<0.001","0.13","0.131","21.65","<0.001","0.02","<0.001","1.52","0.222","0.01"
18,"0.112","0","<0.001","0.13","0.059","36.11","<0.001","0.01","<0.001","1.4","0.019","0.02"
19,"0.016","0","<0.001","0.12","0.917","9.34","<0.001","0.02","<0.001","1.23","0.003","0.03"
20,"<0.001","0.01","<0.001","0.13","0.023","29.04","<0.001","0.02","<0.001","1.32","<0.001","0.1"
21,"<0.001","0.01","<0.001","0.13","0.038","36.71","<0.001","0.03","<0.001","1.21","<0.001","0.14"
22,"0.007","0","<0.001","0.13","0.913","11.63","<0.001","0.02","<0.001","1.11","<0.001","-0.04"
23,"<0.001","0.01","<0.001","0.12","0.332","18.64","<0.001","0.02","<0.001","1.33","<0.001","0.05"
24,"<0.001","0.02","<0.001","0.13","0.224","24.8","<0.001","0.01","<0.001","1.37","<0.001","-0.15"
25,"<0.001","0.01","<0.001","0.13","0.426","20.16","<0.001","0.03","<0.001","1.12","<0.001","-0.14"
26,"0.542","0","<0.001","0.1","0.419","27.7","<0.001","0.01","<0.001","1.19","<0.001","0.12"
