"population","het_p","het_phi","geno_p","geno_cramersV","ks_p","w1d","ld_ks_p","ld_w1d","gc_p","gc_cohens","rogers_p","rogers_cohens"
1,"<0.001","0.01","<0.001","0.12","<0.001","58.45","<0.001","0.08","<0.001","1.48","<0.001","-0.13"
2,"0.657","0","<0.001","0.12","<0.001","70.91","<0.001","0.07","<0.001","1.12","<0.001","-0.05"
3,"0.854","0","<0.001","0.13","<0.001","72.79","<0.001","0.08","<0.001","1.4","<0.001","0.04"
4,"0.003","0","<0.001","0.13","<0.001","57.05","<0.001","0.07","<0.001","1.47","<0.001","-0.09"
5,"0.919","0","<0.001","0.11","<0.001","50.19","<0.001","0.05","<0.001","1.11","0.009","0.03"
6,"0.089","0","<0.001","0.13","<0.001","76.82","<0.001","0.06","<0.001","1.3","0.496","0.01"
7,"0.048","0","<0.001","0.13","0.004","47.03","<0.001","0.06","<0.001","1.25","<0.001","0.1"
8,"<0.001","0.01","<0.001","0.13","<0.001","60.56","<0.001","0.07","<0.001","1.38","<0.001","-0.16"
9,"0.004","0","<0.001","0.13","<0.001","69.19","<0.001","0.06","<0.001","1.24","<0.001","0.14"
10,"0.723","0","<0.001","0.11","<0.001","65.86","<0.001","0.07","<0.001","1.06","<0.001","0.16"
11,"0.081","0","<0.001","0.14","<0.001","54.88","<0.001","0.09","<0.001","1.69","0.488","0.01"
12,"0.129","0","<0.001","0.12","<0.001","53.75","<0.001","0.06","<0.001","1.57","0.184","0.01"
13,"<0.001","0.01","<0.001","0.12","<0.001","63.14","<0.001","0.09","<0.001","1.27","<0.001","0.24"
14,"<0.001","0.01","<0.001","0.12","0.003","42.55","<0.001","0.07","<0.001","1.56","<0.001","-0.07"
15,"0.003","0","<0.001","0.14","<0.001","59.25","<0.001","0.08","<0.001","1.23","<0.001","-0.07"
16,"0.005","0","<0.001","0.13","<0.001","74.91","<0.001","0.07","<0.001","1.47","0.868","0"
18,"0.054","0","<0.001","0.13","<0.001","63.43","<0.001","0.08","<0.001","1.51","<0.001","0.04"
19,"0.015","0","<0.001","0.12","<0.001","55.91","<0.001","0.08","<0.001","1.08","<0.001","-0.1"
20,"0.001","0.01","<0.001","0.13","<0.001","58.23","<0.001","0.07","<0.001","1.14","<0.001","0.07"
21,"0.015","0","<0.001","0.13","<0.001","63.68","<0.001","0.07","<0.001","1.32","<0.001","0.09"
22,"0.991","0","<0.001","0.13","0.002","49.43","<0.001","0.06","<0.001","1.09","0.588","0.01"
23,"0.014","0","<0.001","0.12","<0.001","62.29","<0.001","0.1","<0.001","1.39","0.198","0.01"
24,"<0.001","0.01","<0.001","0.13","<0.001","58.03","<0.001","0.07","<0.001","1.41","<0.001","-0.18"
25,"<0.001","0.01","<0.001","0.13","<0.001","72.88","<0.001","0.07","<0.001","1.2","<0.001","-0.08"
26,"0.135","0","<0.001","0.1","0.004","41.23","<0.001","0.07","<0.001","1.2","<0.001","0.11"
