"population","het_p","het_phi","geno_p","geno_cramersV","ks_p","w1d","ld_ks_p","ld_w1d","gc_p","gc_cohens","rogers_p","rogers_cohens"
1,"<0.001","0.01","<0.001","0.12","0.01","37.91","<0.001","0.01","<0.001","1.57","<0.001","-0.06"
2,"0.396","0","<0.001","0.12","<0.001","55.89","<0.001","0.02","<0.001","1.08","<0.001","-0.07"
3,"0.026","0","<0.001","0.12","0.024","33.05","<0.001","0.02","<0.001","1.52","0.346","-0.01"
4,"0.869","0","<0.001","0.13","0.048","33.09","<0.001","0.01","<0.001","1.45","0.13","-0.02"
5,"0.469","0","<0.001","0.11","0.189","20.22","<0.001","0.02","<0.001","0.96","<0.001","0.05"
6,"0.256","0","<0.001","0.13","<0.001","59.44","<0.001","0.02","<0.001","1.42","0.163","0.02"
7,"<0.001","0.01","<0.001","0.13","0.774","17.39","<0.001","0.01","<0.001","1.27","<0.001","0.17"
8,"<0.001","0.01","<0.001","0.13","0.001","39.36","<0.001","0.01","<0.001","1.43","<0.001","-0.11"
9,"0.079","0","<0.001","0.13","<0.001","47.57","<0.001","0.01","<0.001","1.09","<0.001","0.09"
10,"0.766","0","<0.001","0.11","<0.001","64.61","<0.001","0.01","<0.001","1.13","<0.001","0.12"
11,"0.171","0","<0.001","0.14","0.254","22.26","<0.001","0.02","<0.001","1.73","0.999","0"
12,"0.169","0","<0.001","0.13","0.046","35.55","<0.001","0.02","<0.001","1.47","0.278","0.01"
13,"<0.001","0.01","<0.001","0.12","0.021","50.71","<0.001","0.02","<0.001","1.03","<0.001","0.15"
14,"<0.001","0.01","<0.001","0.12","0.614","12.88","<0.001","0.02","<0.001","1.78","<0.001","-0.05"
15,"0.001","0.01","<0.001","0.14","0.029","28.45","<0.001","0.01","<0.001","1.19","<0.001","-0.05"
16,"<0.001","0.01","<0.001","0.13","0.026","33.21","<0.001","0.01","<0.001","1.52","0.044","-0.02"
18,"0.134","0","<0.001","0.13","0.018","44.56","<0.001","0.02","<0.001","1.42","0.031","0.02"
19,"<0.001","0.01","<0.001","0.13","0.452","22.31","<0.001","0.02","<0.001","1.15","<0.001","-0.11"
20,"0.076","0","<0.001","0.13","0.12","24.76","<0.001","0.02","<0.001","1.31","0.076","0.02"
21,"0.547","0","<0.001","0.13","0.087","22.97","<0.001","0.03","<0.001","1.38","<0.001","0.04"
22,"0.082","0","<0.001","0.13","0.129","22.13","<0.001","0.01","<0.001","1.13","<0.001","-0.04"
23,"0.264","0","<0.001","0.12","0.014","38.87","<0.001","0.02","<0.001","1.33","0.035","-0.02"
24,"<0.001","0.01","<0.001","0.13","0.486","23.97","<0.001","0.02","<0.001","1.48","<0.001","-0.16"
25,"0.004","0","<0.001","0.13","0.017","35.49","<0.001","0.01","<0.001","1.23","<0.001","-0.05"
26,"0.044","0","<0.001","0.1","0.834","9.39","<0.001","0.01","<0.001","1.17","<0.001","0.17"
