"population","het_p","het_phi","geno_p","geno_cramersV","ks_p","w1d","ld_ks_p","ld_w1d","gc_p","gc_cohens","rogers_p","rogers_cohens"
1,"<0.001","0.01","<0.001","0.12","0.103","24.94","<0.001","0.01","<0.001","1.41","<0.001","-0.08"
2,"0.16","0","<0.001","0.12","0.02","48.18","<0.001","0.02","<0.001","1.12","0.027","-0.02"
3,"0.003","0","<0.001","0.12","0.436","26.92","0.155","0.01","<0.001","1.43","<0.001","0.1"
4,"<0.001","0.01","<0.001","0.13","0.001","47.97","<0.001","0.01","<0.001","1.37","<0.001","-0.08"
5,"<0.001","0.01","<0.001","0.11","0.15","19.18","<0.001","0.05","<0.001","0.89","<0.001","-0.09"
6,"0.001","0.01","<0.001","0.13","<0.001","62.71","<0.001","0.03","<0.001","1.28","0.019","-0.03"
7,"<0.001","0.01","<0.001","0.13","0.026","23.34","<0.001","0.01","<0.001","1.24","<0.001","0.14"
8,"<0.001","0.01","<0.001","0.13","0.015","45.49","<0.001","0.01","<0.001","1.51","<0.001","-0.17"
9,"<0.001","0.01","<0.001","0.13","<0.001","63.87","<0.001","0.02","<0.001","1.07","<0.001","0.14"
10,"<0.001","0.01","<0.001","0.12","0.002","71.67","<0.001","0.02","<0.001","1.02","<0.001","0.05"
11,"0.142","0","<0.001","0.14","0.374","21.29","<0.001","0.01","<0.001","1.56","<0.001","0.07"
12,"<0.001","0.01","<0.001","0.13","0.251","30.78","<0.001","0.03","<0.001","1.46","<0.001","-0.08"
13,"0.46","0","<0.001","0.12","0.114","42.44","<0.001","0.02","<0.001","1.11","<0.001","0.05"
14,"<0.001","0.01","<0.001","0.12","0.699","17.44","<0.001","0.02","<0.001","1.77","<0.001","-0.1"
15,"<0.001","0.01","<0.001","0.14","0.115","34.74","<0.001","0.01","<0.001","1.12","<0.001","-0.09"
16,"<0.001","0.01","<0.001","0.13","0.254","23.38","<0.001","0.01","<0.001","1.36","0.018","-0.02"
18,"0.327","0","<0.001","0.13","0.002","54.32","<0.001","0.02","<0.001","1.33","0.094","0.02"
19,"0.002","0","<0.001","0.13","0.531","12.17","<0.001","0.02","<0.001","1.12","<0.001","-0.09"
20,"<0.001","0.01","<0.001","0.13","0.017","33.77","<0.001","0.03","<0.001","1.37","<0.001","0.07"
21,"0.115","0","<0.001","0.13","0.748","13.8","<0.001","0.03","<0.001","1.22","<0.001","0.05"
22,"0.008","0","<0.001","0.13","0.442","15.95","<0.001","0.02","<0.001","1.15","<0.001","-0.05"
23,"<0.001","0.01","<0.001","0.12","0.048","24.21","<0.001","0.01","<0.001","1.37","<0.001","0.09"
24,"<0.001","0.02","<0.001","0.13","0.486","22.79","<0.001","0.01","<0.001","1.37","<0.001","-0.16"
25,"0.051","0","<0.001","0.13","0.191","30.14","<0.001","0.01","<0.001","1.13","<0.001","-0.04"
26,"0.001","0.01","<0.001","0.1","<0.001","41.15","<0.001","0.01","<0.001","1.2","<0.001","0.17"
