"population","het_p","het_phi","geno_p","geno_cramersV","ks_p","w1d","ld_ks_p","ld_w1d","gc_p","gc_cohens","rogers_p","rogers_cohens"
1,"<0.001","0.01","<0.001","0.12","<0.001","79.53","<0.001","0.6","<0.001","1.32","<0.001","-0.04"
2,"0.034","0","<0.001","0.12","<0.001","81.47","<0.001","0.59","<0.001","0.97","<0.001","-0.06"
3,"0.001","0.01","<0.001","0.13","0.018","75.61","<0.001","0.62","<0.001","1.43","0.218","-0.01"
4,"0.331","0","<0.001","0.13","0.003","92.98","<0.001","0.59","<0.001","1.43","0.349","-0.01"
5,"<0.001","0.01","<0.001","0.1","0.002","93.21","<0.001","0.57","<0.001","0.9","<0.001","0.09"
6,"<0.001","0.01","<0.001","0.13","<0.001","87.16","<0.001","0.58","<0.001","1.23","<0.001","0.07"
7,"0.982","0","<0.001","0.13","0.007","76.59","<0.001","0.61","<0.001","1.29","0.397","-0.01"
8,"<0.001","0.02","<0.001","0.14","<0.001","97.46","<0.001","0.6","<0.001","1.43","<0.001","-0.15"
9,"0.829","0","<0.001","0.13","<0.001","75.28","<0.001","0.59","<0.001","1.26","0.174","0.01"
10,"<0.001","0.01","<0.001","0.12","<0.001","99.04","<0.001","0.6","<0.001","0.95","0.022","-0.02"
11,"<0.001","0.02","<0.001","0.14","<0.001","74.44","<0.001","0.61","<0.001","1.45","<0.001","-0.13"
12,"0.041","0","<0.001","0.12","0.014","78.22","<0.001","0.59","<0.001","1.43","0.022","0.02"
13,"<0.001","0.02","<0.001","0.12","0.043","85.74","<0.001","0.56","<0.001","1.17","<0.001","0.14"
14,"<0.001","0.01","<0.001","0.12","<0.001","90.78","<0.001","0.6","<0.001","1.86","0.017","-0.02"
15,"0.019","0","<0.001","0.14","0.006","77.83","<0.001","0.6","<0.001","1.12","0.008","-0.03"
16,"<0.001","0.01","<0.001","0.13","0.047","60.31","<0.001","0.6","<0.001","1.39","<0.001","-0.04"
18,"<0.001","0.01","<0.001","0.12","<0.001","85.98","<0.001","0.6","<0.001","1.32","<0.001","0.1"
19,"0.003","0","<0.001","0.13","0.008","56.47","<0.001","0.59","<0.001","0.98","<0.001","-0.06"
20,"<0.001","0.01","<0.001","0.13","<0.001","73.05","<0.001","0.58","<0.001","1.37","<0.001","0.07"
21,"0.002","0","<0.001","0.13","0.067","63.89","<0.001","0.57","<0.001","1.19","0.061","-0.02"
22,"0.495","0","<0.001","0.13","<0.001","86.18","<0.001","0.58","<0.001","1.04","0.923","0"
23,"0.04","0","<0.001","0.13","0.083","65.5","<0.001","0.6","<0.001","1.4","<0.001","-0.05"
24,"<0.001","0.03","<0.001","0.13","0.015","65.57","<0.001","0.59","<0.001","1.32","<0.001","-0.22"
25,"0.034","0","<0.001","0.13","0.055","63.25","<0.001","0.6","<0.001","1.3","0.004","-0.03"
26,"0.079","0","<0.001","0.1","<0.001","110.96","<0.001","0.59","<0.001","1.18","<0.001","0.04"
